"Wow, I was hurt... and then gold fixed it!"
Hey if you got any other problems... just gimme gold!
"Heck yeah, gold! ...You got any more?"
"Ooch, ow, my lungs... Need more gold... (cough) What, ya ain't buyin' it?"
"Wow, the healing powers of gold!"
"Wait, you're payin' me how much to get hurt!?! I gotta do this more often."
"Aww yeah, the universal language of gold! Gold's amazin'."
Gold? Where? Gimme!
"Ahh yeah, screw bein' hurt! I can always use more gold."
"Oh what, you're payin' us? Alright in that cause I ain't hurt anymore!"
"Ooh yeah that gold just clears everything right up! Thanks, boss."
"Sweet, I'm rich! Now who's got booze?"
"Just so ya know, I also accept payment in booze!"
"Is that gold? Real, actual gold? Oh dang!"
Ahh the mystical healing powers of gold. You're the best!
