value,prompt_abbr_1,prompt_abbr_2,prompt,response_good,response_bad
4,What a goblin!,You’re a credit to goblinkind!,What a goblin! You’re a real credit to goblinkind.,"Aw c’mon! There were a lot of tough guys out there, heh heh...","Aw c’mon! There were a lot of tough guys out there, heh heh..."
4,Nobody can take you down!,They didn’t know what hit ‘em!,Those guys didn’t know what hit em! Nobody can take you down.,Heck yeah man! You better stay on my good side.,Heck yeah man! You better stay on my good side.
4,I knew you could handle it,They couldn’t even scratch you!,I knew you could handle it! They barely put a scratch on you.,Ain’t nobody tougher than me! Those guys didn’t stand a chance.,Ain’t nobody tougher than me! Those guys didn’t stand a chance.
4,Teach us to fight like that!,How do you fight like that!,I wish you could teach the other guys to fight like that!,True talent can’t be taught! But I can beat ‘em up if you want.,True talent can’t be taught! But I can beat ‘em up if you want.
4,You were so tough!,"So tough, I can’t believe it!","You were so tough out there, I couldn’t believe it!","That’s right, the legends are true! Make sure to spread the word about how awesome I am.","That’s right, the legends are true! Make sure to spread the word about how awesome I am."
4,That was amazing!,You fought so amazing!,"I’ve never seen anyone fight like that, that was amazing!",Heh you should follow me around more often! That was nothing.,Heh you should follow me around more often! That was nothing.
4,You were unstoppable!,You took down so many guys!,"You must have taken down 10 or 20 guys, you were unstoppable out there!",Yeah I stopped counting once I got to 50! I ain’t so good with numbers.,Yeah I stopped counting once I got to 50! I ain’t so good with numbers.
4,You’re so brave!,You’re the bravest goblin!,You’re the bravest goblin I’ve ever seen!,It ain’t bravery if you know you got the goods to back it up!,It ain’t bravery if you know you got the goods to back it up!
4,You were untouchable!,You’re untouchable out there!,"You were untouchable out there! I mean you got touched a little, but still!","Yeah I let ‘em get a hit or two in! I just felt bad, y’know?","Yeah I let ‘em get a hit or two in! I just felt bad, y’know?"
3,Try dodging,Nice work,"Nice work out there, just... maybe try dodging next time.","Dodging? Pshh, that takes all the fun outta gettin’ hit!","Dodging? Man, why don’t you try shuttin’ your mouth."
3,Whatever doesn’t kill you...,Let’s get back out there,"Whatever doesn’t kill you, right? Let’s get back out there.",I been practicing not getting killed my whole life! I’m gettin’ good at it.,Are you crazy!? I’m wounded over here. (cough cough)
3,Learn from your mistakes,It’s OK to make mistakes,Learn from your mistakes. You’ll get ‘em next time.,Yeah I already know what I messed up. I’ll get ‘em.,Only mistake I made is listening to your crazy nonsense...
